id,parent_id,root
cqugcxc,cqufzhz,cqufzhz
cqugcxo,cqudh69,cqudh69
cqugcxq,34dvbd,34dvbd
cqugcye,34fsrh,34fsrh
cqugcyv,cquc692,cquc692
cqugcz7,34eui0,34eui0
cqugczd,34gmv6,34gmv6
cqugczn,34femx,34femx
cqugczx,cqufpos,cqufpos
cqugd05,cqu66vi,cqu66vi
cqugd0b,cqugb2v,cqug6tp
cqugd0g,cqugcgl,cqug7jv
cqugd0l,cqu8v5n,cqu8v5n
cqugd0m,cqu6d39,cqu6d39
cqugd0v,34gmys,34gmys
cqugd11,34ffo5,34ffo5
cqugd18,cqug94d,cquffk0
cqugd1z,34gmvf,34gmvf
cqugd2b,34glus,34glus
cqugd2m,cqu75kf,cqu75kf
cqugd2u,cqu7vuh,cqu7vuh
cqugd30,cqu6659,cqu6659
cqugd3m,34gmys,34gmys
cqugd46,34gn0o,34gn0o
cqugd4a,34eui0,34eui0
cqugd4c,cqugcni,cqug8cq
cqugd4h,cqu5r40,cqu5r40
cqugd4p,cquepoc,cquepoc
cqugd5d,cqu8tuv,cqu8tuv
cqugd5t,cqug43g,cqug43g
cqugd64,cquga0c,cqufpth
cqugd69,34gn0o,34gn0o
cqugd6b,cqufua4,cqufua4
cqugd6d,cquf0lk,cquf0lk
cqugd6l,cqud0bk,cqud0bk
cqugd6w,cqug9lw,cqug8pg
cqugd6x,34gna2,34gna2
cqugd76,cqucdq1,cqucdq1
cqugd7a,34gg6q,34gg6q
cqugd7h,cqu56f5,cqu56f5
cqugd7k,cqucv00,cqucv00
cqugd7x,34fvry,34fvry
cqugd82,cqugcni,cqug8cq
cqugd8e,cquf2b6,cquf2b6
cqugd9b,34glw1,34glw1
cqugdah,cquf4iu,cquf4iu
cqugdat,cqubcqk,cqubcqk
cqugdaz,cqu6bxw,cqu6bxw
cqugdbl,34gn4n,34gn4n
cqugdbq,34fwho,34fwho
cqugdbx,cqufet1,cqufet1
cqugdc8,34cnyo,34cnyo
cqugdcb,cqtoqa6,cqtoqa6
cqugdcq,cqugb1t,34gmmd
cqugdd4,34ffo5,34ffo5
cqugdd9,cqug02b,cqug02b
cqugddk,34gloh,34gloh
cqugde5,cqufd1b,cqufd1b
cqugdeg,cqu80x6,cqu80x6
cqugdeh,34fvry,34fvry
cqugdek,cqtnx98,cqtnx98
cqugdeo,cquetew,cquetew
cqugdf5,cqubi7o,cqubi7o
cqugdf7,cqug95f,34gmmd
cqugdfo,cqudodp,cqudodp
cqugdg0,34gn8i,34gn8i
cqugdg2,34ffo5,34ffo5
cqugdgf,34ght3,34ght3
cqugdgl,cqu1q5k,cqu1q5k
cqugdh2,cqug47c,cqug47c
cqugdhg,34gmys,34gmys
cqugdhp,cque5i1,cque5i1
cqugdhq,cquf3q4,cquf3q4
cqugdhr,34gn0o,34gn0o
cqugdhx,cquft8n,cquft8n
cqugdhy,34ffhl,34ffhl
cqugdih,cqu5s15,cqu5s15
cqugdiv,34gbmn,34gbmn
cqugdj2,cqtk7qb,cqtk7qb
cqugdjp,cqugb1t,34gmmd
cqugdk1,cquddrk,cquddrk
cqugdk2,cqufyx0,cqufyx0
cqugdk8,34ffo5,34ffo5
cqugdkm,34ffo5,34ffo5
cqugdky,34gmv6,34gmv6
cqugdl1,34dvbd,34dvbd
cqugdl4,cqtxaze,cqtxaze
cqugdlo,cqu5xq5,cqu5xq5
cqugdm6,34ghk6,34ghk6
cqugdmn,cqug0xa,cqug0xa
cqugdmu,34ffo5,34ffo5
cqugdne,cqufzp4,cqufzp4
cqugdnj,34gml2,34gml2
cqugdo5,cqucphq,cqucphq
cqugdok,cqu67y0,cqu67y0
cqugdol,cqubl0t,cqubl0t
cqugdop,34dvbd,34dvbd
cqugdor,cqu92xa,cqu92xa
cqugdov,34ffhl,34ffhl
cqugdow,cqug8z4,cqug8z4
cqugdp9,cqufant,cqufant
cqugdpo,cqieqhe,cqieqhe
cqugdqq,34ffhl,34ffhl
cqugdqx,cqufeq2,cqufeq2
cqugdr6,cqugbkd,cqug6r6
cqugdrf,cqubxff,cqubxff
cqugdrm,cquaj0j,cquaj0j
cqugds2,34g8nu,34g8nu
cqugds4,cqu3z09,cqu3z09
cqugds6,cqug7mv,cqug7mv
cqugdsp,cquf21t,cquf21t
cqugdsq,cqudghl,cqudghl
cqugdsz,34du5b,34du5b
cqugdtd,cqtv7hj,cqtv7hj
cqugdte,cqudlpm,cqudlpm
cqugdtn,34fzg9,34fzg9
cqugdto,cqub0d9,cqub0d9
cqugdu1,cqufkwb,cqufkwb
cqugdu9,34ffo5,34ffo5
cqugdv2,cque4im,cque4im
cqugdv7,cqu3vwa,cqu3vwa
cqugdvb,34gmrb,34gmrb
cqugdvo,34gn8i,34gn8i
cqugdw1,cqud0bl,cqud0bl
cqugdw4,cqufy79,cqufy79
cqugdw6,cqudi8o,cqudi8o
cqugdw8,cqucpql,cqucpql
cqugdwi,cqtteot,cqtteot
cqugdwo,cqugcqo,34gmmd
cqugdwv,34gn0o,34gn0o
cqugdze,34glt0,34glt0
cqugdzf,34gn4n,34gn4n
cqugdzx,34ffo5,34ffo5
cqugdzz,34glt0,34glt0
cquge08,34gn8i,34gn8i
cquge0b,cquaff5,cquaff5
cquge0m,34fwvr,34fwvr
cquge0u,34ffo5,34ffo5
cquge1r,cqu75fn,cqu75fn
cquge24,34ffo5,34ffo5
cquge2b,cqu3z09,cqu3z09
cquge2d,cqtrqsf,cqtrqsf
cquge2f,cqufucw,cqufucw
cquge2h,34ffo5,34ffo5
cquge2t,cqug5zx,cqug5zx
cquge2v,34gn0o,34gn0o
cquge2x,34ghio,34ghio
cquge31,cqueytt,cqueytt
cquge36,cqucxp4,cqucxp4
cquge39,34dpde,34dpde
cquge3c,cqugd2u,cqu7vuh
cquge41,cqud0bl,cqud0bl
cquge47,cquenma,cquenma
cquge63,34g3x6,34g3x6
cquge6e,cqu9p5g,cqu9p5g
cquge76,34g1hc,34g1hc
cquge83,cqu9zh3,cqu9zh3
cquge8b,34gj5v,34gj5v
cquge8g,cqu5icz,cqu5icz
cquge8r,34gc05,34gc05
cquge8v,34glon,34glon
cquge9i,cqu4uhc,cqu4uhc
cqugeax,cqudwd4,cqudwd4
cqugeb0,cqueefj,cqueefj
cqugebh,cqu7b8t,cqu7b8t
cqugebl,cquf5bg,cquf5bg
cqugebu,34gn8i,34gn8i
cqugeby,cqto4ti,cqto4ti
cqugec1,cquecbi,cquecbi
cqugec6,cqugd69,34gn0o
cqugech,cquej3j,cquej3j
cqugecs,cqtog9m,cqtog9m
cqugect,cqucaw8,cqucaw8
cquged6,cqu0bf7,cqu0bf7
cqugedr,34gkth,34gkth
cqugedt,cqueuml,cqueuml
cqugee8,cqugcqo,34gmmd
cqugeei,34gmmd,34gmmd
cqugeek,cquf251,cquf251
cqugef6,cqtosmh,cqtosmh
cqugefa,cqu56f5,cqu56f5
cqugefr,34g5dq,34g5dq
cqugefw,cquf1w3,cquf1w3
cqugeg2,cqtqlv5,cqtqlv5
cqugeg7,cqugdbl,34gn4n
cqugegd,cquftko,cquftko
cqugegs,cqug80u,cqug80u
cqugeh6,cqu9ja0,cqu9ja0
cqugehj,cqugbro,cqufm2p
cqugehz,34ffo5,34ffo5
